"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"1285","4.741325","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=45165 Ack=1349549 Win=28868 Len=0 TSval=1654348479 TSecr=1785881071"
"1286","4.751207","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=1349549 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1287","4.751224","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=1350997 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1288","4.751249","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=1352445 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1289","4.751301","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=45165 Ack=1352445 Win=28992 Len=0 TSval=1654348489 TSecr=1785881083"
"1290","4.751303","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=1353893 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1291","4.751328","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=1355341 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1292","4.751344","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=1356789 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1293","4.751392","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=1358237 Ack=45165 Win=16088 Len=1448 TSval=1785881083 TSecr=1654348469"
"1294","4.751410","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ESTablish REQuest "
