"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"111","8.275699","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"112","8.293538","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=66813 Ack=5897 Win=16088 Len=0 TSval=1785634618 TSecr=1654102013"
"113","8.303618","10.0.0.101","192.168.0.3","RSL CBCH","1514","5000,35644","1448","SMS BroadCast REQuest "
"114","8.303647","10.0.0.101","192.168.0.3","SCCP (Int. ITU)","182","5000,35644","116","Unknown: 128 "
"115","8.303750","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=5897 Ack=68377 Win=28998 Len=0 TSval=1654102041 TSecr=1785634636"
"116","8.309092","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"117","8.333822","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"118","8.333947","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=6433 Ack=68913 Win=29022 Len=0 TSval=1654102071 TSecr=1785634667"
"119","8.336138","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"120","8.364025","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"121","8.366388","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"122","8.394217","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"123","8.396508","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"124","8.424422","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"125","8.426797","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"126","8.454652","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"127","8.456952","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"128","8.514956","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=71057 Ack=9113 Win=16088 Len=0 TSval=1785634842 TSecr=1654102194"
"129","10.002827","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"130","11.515878","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"131","11.530725","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=71057 Ack=9649 Win=16088 Len=0 TSval=1785637855 TSecr=1654105253"
"132","12.003389","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
