"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"4918","28.935801","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4593121 Ack=231701 Win=16088 Len=1448 TSval=1784755268 TSecr=1653222417"
"4919","28.935811","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4594569 Ack=231701 Win=16088 Len=1448 TSval=1784755268 TSecr=1653222417"
"4920","28.935818","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4596017 Ack=231701 Win=16088 Len=1448 TSval=1784755268 TSecr=1653222417"
"4921","28.935819","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=231701 Ack=4588777 Win=28944 Len=0 TSval=1653222437 TSecr=1784755267"
"4922","28.935840","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=231701 Ack=4593121 Win=28904 Len=0 TSval=1653222438 TSecr=1784755267"
"4923","28.935897","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=231701 Ack=4597465 Win=28868 Len=0 TSval=1653222438 TSecr=1784755268"
"4924","28.945878","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4597465 Ack=231701 Win=16088 Len=1448 TSval=1784755279 TSecr=1653222417"
"4925","28.945899","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4598913 Ack=231701 Win=16088 Len=1448 TSval=1784755279 TSecr=1653222417"
"4926","28.945922","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=4600361 Ack=231701 Win=16088 Len=1448 TSval=1784755279 TSecr=1653222417"
"4927","28.945951","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4601809 Ack=231701 Win=16088 Len=1448 TSval=1784755279 TSecr=1653222417"
"4928","28.945972","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=231701 Ack=4600361 Win=28992 Len=0 TSval=1653222448 TSecr=1784755279"
"4929","28.946013","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=4603257 Ack=231701 Win=16088 Len=1448 TSval=1784755279 TSecr=1653222417"
