"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"107","6.823246","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=7483 Ack=71975 Win=28980 Len=0 TSval=1654794561 TSecr=1786327155"
"108","6.833199","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"109","6.833215","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=73423 Ack=7483 Win=16088 Len=1448 TSval=1786327164 TSecr=1654794535"
"110","6.833280","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=7483 Ack=74871 Win=28992 Len=0 TSval=1654794571 TSecr=1786327164"
"111","6.843288","10.0.0.101","192.168.0.3","TCP","1326","5000,35644","1260","5000  >  35644 [PSH, ACK] Seq=74871 Ack=7483 Win=16088 Len=1260 TSval=1786327167 TSecr=1654794561"
"112","6.843303","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"113","6.843317","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=77579 Ack=7483 Win=16088 Len=1448 TSval=1786327174 TSecr=1654794561"
"114","6.843337","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=79027 Ack=7483 Win=16088 Len=1448 TSval=1786327174 TSecr=1654794561"
"115","6.843405","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=7483 Ack=80475 Win=28968 Len=0 TSval=1654794581 TSecr=1786327167"
"116","6.843846","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"117","6.863472","10.0.0.101","192.168.0.3","TCP","392","5000,35644","326","5000  >  35644 [PSH, ACK] Seq=80475 Ack=7483 Win=16088 Len=326 TSval=1786327187 TSecr=1654794581"
"118","6.903690","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=80801 Ack=8019 Win=16088 Len=0 TSval=1786327230 TSecr=1654794581"
"119","6.903753","192.168.0.3","10.0.0.101","RSL","1138","35644,5000","1072","CHANnel ReQuireD "
"120","6.933884","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","NOTification CoMmanD "
"121","6.933902","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=82249 Ack=9091 Win=16088 Len=1448 TSval=1786327265 TSecr=1654794641"
"122","6.933919","10.0.0.101","192.168.0.3","TCP","790","5000,35644","724","5000  >  35644 [PSH, ACK] Seq=83697 Ack=9091 Win=16088 Len=724 TSval=1786327265 TSecr=1654794641"
"123","6.933996","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=9091 Ack=83697 Win=28988 Len=0 TSval=1654794671 TSecr=1786327265"
"124","6.954059","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","OVERLOAD "
"125","6.954128","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=9091 Ack=85869 Win=29004 Len=0 TSval=1654794692 TSecr=1786327265"
"126","6.974184","10.0.0.101","192.168.0.3","TCP","1210","5000,35644","1144","5000  >  35644 [PSH, ACK] Seq=85869 Ack=9091 Win=16088 Len=1144 TSval=1786327298 TSecr=1654794692"
"127","6.980677","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"128","7.004393","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","NOTification CoMmanD "
"129","7.004408","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ESTablish CONFirm "
"130","7.004414","10.0.0.101","192.168.0.3","SCCP (Int. ITU)","790","5000,35644","724","Unknown: 224 "
"131","7.004495","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=9627 Ack=89909 Win=28992 Len=0 TSval=1654794742 TSecr=1786327336"
"132","7.024546","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"133","7.024562","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=92081 Ack=9627 Win=16088 Len=1448 TSval=1786327351 TSecr=1654794742"
"134","7.024569","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=93529 Ack=9627 Win=16088 Len=1448 TSval=1786327351 TSecr=1654794742"
"135","7.024598","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=94977 Ack=9627 Win=16088 Len=1448 TSval=1786327351 TSecr=1654794742"
